Source,Alpha,AUC
acm_test_final,0,0.499653783205338
Amazon,0,0.436215313463515
BlogCatalog,0,0.731543624161074
Disney,0,0.5
Enron,0,0.5
Flickr2,0,0.731543624161074
acm_test_final,0.1,0.851913739911923
Amazon,0.1,0.436292394655704
BlogCatalog,0.1,0.851983825749998
Disney,0.1,0.535310734463277
Enron,0.1,0.689931992903607
Flickr1,0.1,0.810818664607529
Flickr2,0.1,0.895404297762612
acm_test_final,0.2,0.840618535409273
Amazon,0.2,0.436292394655704
BlogCatalog,0.2,0.813644317225768
Disney,0.2,0.535310734463277
Enron,0.2,0.690257244234181
Flickr2,0.2,0.523342422484854
acm_test_final,0.3,0.830975518714655
Amazon,0.3,0.624948612538541
BlogCatalog,0.3,0.799604892833947
Disney,0.3,0.484463276836158
Enron,0.3,0.690493790656416
Flickr1,0.3,0.765554942717115
Flickr2,0.3,0.500262066350806
acm_test_final,0.4,0.803575127886526
Amazon,0.4,0.6228802672148
BlogCatalog,0.4,0.792505021910052
Disney,0.4,0.47316384180791
Enron,0.4,0.731076286221171
Flickr1,0.4,0.757276423404825
Flickr2,0.4,0.527779974741198
acm_test_final,0.5,0.857457892921851
Amazon,0.5,0.624087872559096
BlogCatalog,0.5,0.788031548282959
Disney,0.5,0.497175141242938
Enron,0.5,0.731076286221171
Flickr1,0.5,0.754521644578218
Flickr2,0.5,0.48422941194194
acm_test_final,0.6,0.842466042543086
Amazon,0.6,0.624614594039054
BlogCatalog,0.6,0.785176664355537
Disney,0.6,0.535310734463277
Enron,0.6,0.68725606150207
Flickr1,0.6,0.752898813369683
Flickr2,0.6,0.508752545339048
acm_test_final,0.7,0.810032823752177
Amazon,0.7,0.625629496402878
BlogCatalog,0.7,0.782902074809332
Disney,0.7,0.5
Enron,0.7,0.690020697811946
Flickr1,0.7,0.751504325763903
Flickr2,0.7,0.486753722911441
acm_test_final,0.8,0.811017788953653
Amazon,0.8,0.460508735868448
BlogCatalog,0.8,0.781244433421668
Disney,0.8,0.529661016949152
Enron,0.8,0.69031638083974
Flickr1,0.8,0.746731802638007
Flickr2,0.8,0.485187915696864
acm_test_final,0.9,0.841889926849202
Amazon,0.9,0.627081192189106
BlogCatalog,0.9,0.780153384068556
Disney,0.9,0.529661016949153
Enron,0.9,0.69030159668835
Flickr1,0.9,0.746205461966371
Flickr2,0.9,0.487761658343314
acm_test_final,1,0.833523933275423
Amazon,1,0.626952723535457
BlogCatalog,1,0.779116116426099
Disney,1,0.498587570621469
Enron,1,0.690656416321703
Flickr1,1,0.744750933703138
Flickr2,1,0.490962790972112
